"Name","Type","Level","Race","Attribute","ATK","DEF","Cluster"
"Atlantean Marksman","Effect Monster",3,"Sea Serpent","WATER",1400.0000000000002,0,"cluster_4"
"Temple of Skulls","Normal Monster",4,"Zombie","DARK",900.0000000000001,1300,"cluster_2"
"Rubic, Malebranche of the Burning Abyss","Tuner Monster",3,"Fiend","DARK",100,2100,"cluster_2"
"Doron","Normal Monster",2,"Warrior","EARTH",900.0000000000001,500,"cluster_6"
"Hiita the Fire Charmer","Flip Effect Monster",3,"Spellcaster","FIRE",500,1500,"cluster_1"
"Empress of Prophecy","XYZ Monster",5,"Spellcaster","LIGHT",2000,1700.0000000000002,"cluster_1"
"Dragunity Arma Mystletainn","Effect Monster",5.999999999999999,"Dragon","WIND",2100,1500,"cluster_5"
"Dragunity Knight - Gae Bulg","Synchro Monster",5.999999999999999,"Dragon","WIND",2000,1100,"cluster_5"
"Geargiarmor","Effect Monster",4,"Machine","EARTH",1100,1900,"cluster_4"
"Armed Dragon LV3","Effect Monster",3,"Dragon","WIND",1200,900.0000000000001,"cluster_5"
"Expressroid","Effect Monster",4,"Machine","EARTH",400,1600,"cluster_4"
"Doggy Diver","Effect Monster",4,"Warrior","DARK",1000,1000,"cluster_2"
"Junk Changer","Tuner Monster",3,"Warrior","EARTH",1500,900.0000000000001,"cluster_6"
"Geargiano Mk-II","Effect Monster",3,"Machine","EARTH",1000,500,"cluster_4"
"Satellarknight Unukalhai","Effect Monster",4,"Warrior","LIGHT",1800.0000000000002,1000,"cluster_6"
"Dark Mimic LV3","Effect Monster",3,"Fiend","DARK",1000,1000,"cluster_2"
"Kojikocy","Normal Monster",4,"Warrior","EARTH",1500,1200,"cluster_6"
"Herald of Pure Light","XYZ Monster",2,"Fairy","LIGHT",600,1000,"cluster_1"
"Kozmo Soartroopers","Effect Monster",3,"Psychic","DARK",1000,1000,"cluster_5"
"Vylon Tetra","Tuner Monster",2,"Machine","LIGHT",900.0000000000001,900.0000000000001,"cluster_4"
"Prime Material Falcon","Effect Monster",5,"Winged Beast","WIND",2200,800,"cluster_6"
"T.G. Striker","Tuner Monster",2,"Warrior","EARTH",800,0,"cluster_6"
"Mysterious Guard","Flip Effect Monster",3,"Spellcaster","EARTH",800,1200,"cluster_1"
"Ronintoadin","Effect Monster",2,"Aqua","WATER",100,2000,"cluster_4"
"Photon Crusher","Effect Monster",4,"Warrior","LIGHT",2000,0,"cluster_6"
"Vampire Koala","Effect Monster",4,"Beast","EARTH",1800.0000000000002,1500,"cluster_1"
"Hazy Flame Sphynx","Effect Monster",5.999999999999999,"Beast-Warrior","FIRE",1900,1900,"cluster_4"
"Super Roboyarou","Fusion Monster",5.999999999999999,"Machine","EARTH",1200,500,"cluster_0"
"Chaos Necromancer","Effect Monster",1,"Fiend","DARK",0,0,"cluster_2"
"Bee List Soldier","Effect Monster",1,"Insect","WIND",500,400,"cluster_5"
"Kagemusha of the Six Samurai","Tuner Monster",2,"Warrior","EARTH",400,1800.0000000000002,"cluster_6"
"Rune-Eyes Pendulum Dragon","Fusion Monster",8,"Dragon","DARK",3000,2000,"cluster_0"
"The Hunter with 7 Weapons","Effect Monster",3,"Warrior","EARTH",1000,600,"cluster_6"
"R-Genex Magma","Effect Monster",3,"Pyro","FIRE",1000,200,"cluster_5"
"Cyber End Dragon","Fusion Monster",10,"Machine","LIGHT",4000,2800.0000000000005,"cluster_0"
"Cyber End Dragon","Fusion Monster",10,"Machine","LIGHT",4000,2800.0000000000005,"cluster_0"
"Rose, Warrior of Revenge","Tuner Monster",4,"Warrior","FIRE",1600,600,"cluster_2"
"ABC-Dragon Buster","Fusion Monster",8,"Machine","LIGHT",3000,2800.0000000000005,"cluster_0"
"White Ninja","Flip Effect Monster",4,"Warrior","LIGHT",1500,800,"cluster_6"
"Deep-Space Cruiser IX","Effect Monster",9,"Machine","LIGHT",900.0000000000001,900.0000000000001,"cluster_4"
"Dimension Fortress Weapon","Effect Monster",4,"Machine","DARK",1700.0000000000002,200,"cluster_4"
"Dark Requiem Xyz Dragon","XYZ Monster",5,"Dragon","DARK",3000,2500,"cluster_5"
"Divine Dragon Knight Felgrand","XYZ Monster",8,"Warrior","LIGHT",2800.0000000000005,1800.0000000000002,"cluster_6"
"Fusionist","Fusion Monster",3,"Beast","EARTH",900.0000000000001,700.0000000000001,"cluster_3"
"Brotherhood of the Fire Fist - Spirit","Tuner Monster",3,"Beast-Warrior","FIRE",500,200,"cluster_4"
"Ultimaya Tzolkin","Synchro Monster",11.999999999999998,"Dragon","DARK",0,0,"cluster_5"
"PSY-Framegear Epsilon","Tuner Monster",2,"Psychic","LIGHT",1500,0,"cluster_5"
"Malefic Cyber End Dragon","Effect Monster",10,"Machine","DARK",4000,2800.0000000000005,"cluster_4"
"Nekogal 1","Normal Monster",3,"Beast","EARTH",1100,900.0000000000001,"cluster_1"
"Uraby","Normal Monster",4,"Dinosaur","EARTH",1500,800,"cluster_5"
"Toy Knight","Effect Monster",4,"Machine","EARTH",200,1200,"cluster_4"
"Shadow of the Six Samurai - Shien","XYZ Monster",4,"Warrior","EARTH",2500,400,"cluster_6"
"Heroic Challenger - Thousand Blades","Effect Monster",4,"Warrior","EARTH",1300,1100,"cluster_6"
"Overdrive Teleporter","Effect Monster",5.999999999999999,"Psychic","LIGHT",2100,1200,"cluster_5"
"Bujintei Kagutsuchi","XYZ Monster",4,"Beast-Warrior","LIGHT",2500,2000,"cluster_4"
"Key Mace","Normal Monster",1,"Fairy","LIGHT",400,300,"cluster_1"
"Elemental HERO Nova Master","Fusion Monster",8,"Warrior","FIRE",2600,2100,"cluster_3"
"Ancient Gear Engineer","Effect Monster",5,"Machine","EARTH",1500,1500,"cluster_4"
"Silent Swordsman LV3","Effect Monster",3,"Warrior","LIGHT",1000,1000,"cluster_6"
"Blackwing - Gale the Whirlwind","Tuner Monster",3,"Winged Beast","DARK",1300,400,"cluster_2"
"Gladiator Beast Lanista","Effect Monster",4,"Winged Beast","WIND",1800.0000000000002,1200,"cluster_6"
"Worm Victory","Flip Effect Monster",7,"Reptile","LIGHT",0,2500,"cluster_5"
"Constellar Praesepe","XYZ Monster",4,"Machine","LIGHT",2400,800,"cluster_4"
"Bixi, Water of the Yang Zing","Effect Monster",2,"Wyrm","WATER",0,2000,"cluster_5"
"XY-Dragon Cannon","Fusion Monster",5.999999999999999,"Machine","LIGHT",2200,1900,"cluster_0"
"Hyosube","Normal Monster",4,"Aqua","WATER",1500,900.0000000000001,"cluster_4"
"Blue-Eyes Twin Burst Dragon","Fusion Monster",10,"Dragon","LIGHT",3000,2500,"cluster_0"
"Asura Priest","Spirit Monster",4,"Fairy","LIGHT",1700.0000000000002,1200,"cluster_3"
"Meklord Army of Granel","Effect Monster",4,"Machine","EARTH",1600,1200,"cluster_4"
"Cyber Prima","Effect Monster",5.999999999999999,"Warrior","LIGHT",2300,1600,"cluster_6"
"Night Papilloperative","XYZ Monster",4,"Warrior","DARK",2600,2000,"cluster_2"
"Gambler of Legend","Effect Monster",4,"Spellcaster","DARK",500,1400.0000000000002,"cluster_1"
"XX-Saber Hyunlei","Synchro Monster",5.999999999999999,"Warrior","EARTH",2300,1300,"cluster_6"
"Morphtronic Staplen","Effect Monster",4,"Machine","EARTH",1400.0000000000002,1000,"cluster_4"
"Satellarknight Altair","Effect Monster",4,"Warrior","LIGHT",1700.0000000000002,1300,"cluster_6"
"Overdrive","Normal Monster",4,"Machine","EARTH",1600,1500,"cluster_4"
"Princess Curran","Effect Monster",4,"Spellcaster","DARK",2000,0,"cluster_1"
"Road Warrior","Synchro Monster",8,"Warrior","LIGHT",3000,1500,"cluster_6"
"Des Lacooda","Effect Monster",3,"Zombie","EARTH",500,600,"cluster_2"
"Tyr of the Nordic Champions","Effect Monster",4,"Warrior","LIGHT",2000,2000,"cluster_6"
"Great Long Nose","Spirit Monster",5,"Beast-Warrior","DARK",1900,1700.0000000000002,"cluster_0"
"Neo Flamvell Hedgehog","Tuner Monster",3,"Pyro","FIRE",800,200,"cluster_5"
"Steel Cavalry of Dinon","Pendulum Effect Monster",4,"Dinosaur","EARTH",1600,2600,"cluster_5"
"Power Tool Dragon","Synchro Monster",7,"Machine","EARTH",2300,2500,"cluster_4"
"Laval Volcano Handmaiden","Tuner Monster",1,"Pyro","FIRE",100,200,"cluster_5"
"Shire, Lightsworn Spirit","Effect Monster",3,"Fairy","LIGHT",400,1400.0000000000002,"cluster_1"
"Marauding Captain","Effect Monster",3,"Warrior","EARTH",1200,400,"cluster_6"
"Inzektor Ladybug","Effect Monster",2,"Insect","DARK",500,100,"cluster_5"
"Sealmaster Meisei","Normal Monster",3,"Spellcaster","DARK",1100,900.0000000000001,"cluster_1"
"Water Omotics","Normal Monster",4,"Aqua","WATER",1400.0000000000002,1200,"cluster_4"
"Skull Knight","Fusion Monster",7,"Spellcaster","DARK",2650,2250,"cluster_3"
"Legendary Six Samurai - Kageki","Effect Monster",3,"Warrior","WIND",200,2000,"cluster_6"
"Sky Galloping Gaia the Dragon Champion","Fusion Monster",7,"Dragon","WIND",2600,2100,"cluster_0"
"Brotherhood of the Fire Fist - Swallow","Effect Monster",5,"Beast-Warrior","FIRE",2000,800,"cluster_4"
"Defender, the Magical Knight","Effect Monster",4,"Spellcaster","LIGHT",1600,2000,"cluster_1"
"Galaxy-Eyes Cipher Blade Dragon","XYZ Monster",9,"Dragon","LIGHT",3200,2800.0000000000005,"cluster_5"
"Shocktopus","Effect Monster",4,"Fish","WATER",1600,800,"cluster_1"
"Wizard Buster Destruction Sword","Effect Monster",3,"Spellcaster","DARK",1200,900.0000000000001,"cluster_1"
"Photon Chargeman","Effect Monster",4,"Warrior","LIGHT",1000,1000,"cluster_6"
"Gladiator Beast Samnite","Effect Monster",3,"Beast","EARTH",1600,1200,"cluster_1"
"ZW - Sleipnir Mail","Effect Monster",4,"Beast","LIGHT",1000,1000,"cluster_1"
"Hyper Hammerhead","Effect Monster",4,"Dinosaur","EARTH",1500,1200,"cluster_5"
"Medusa Worm","Effect Monster",2,"Rock","EARTH",500,600,"cluster_6"
"Fluffal Cat","Effect Monster",1,"Fairy","EARTH",700.0000000000001,300,"cluster_1"
"Decoy Dragon","Effect Monster",2,"Dragon","FIRE",300,200,"cluster_5"
"Crystron Phoenix","Synchro Monster",9,"Machine","WATER",2800.0000000000005,2000,"cluster_4"
"Daigusto Phoenix","XYZ Monster",2,"Pyro","WIND",1500,1100,"cluster_5"
"Wattchimera","Synchro Monster",5.999999999999999,"Thunder","LIGHT",1400.0000000000002,1200,"cluster_4"
"Servant of Catabolism","Effect Monster",3,"Aqua","LIGHT",700.0000000000001,500,"cluster_4"
"PSY-Framegear Beta","Tuner Monster",1,"Psychic","LIGHT",700.0000000000001,0,"cluster_5"
"Flame Viper","Normal Monster",2,"Pyro","EARTH",400,450.00000000000006,"cluster_5"
"Rainbow Kuriboh","Effect Monster",1,"Fiend","LIGHT",100,100,"cluster_6"
"Nimble Sunfish","Effect Monster",2,"Fish","WATER",1000,100,"cluster_1"
"Reflect Bounder","Effect Monster",4,"Machine","LIGHT",1700.0000000000002,1000,"cluster_4"
"Grappler","Normal Monster",4,"Reptile","WATER",1300,1200,"cluster_5"
"Gogogo Golem - Golden Form","Effect Monster",4,"Rock","EARTH",0,1500,"cluster_6"
"Naturia Barkion","Synchro Monster",5.999999999999999,"Dragon","EARTH",2500,1800.0000000000002,"cluster_5"
"Wicked Dragon with the Ersatz Head","Normal Monster",3,"Dragon","WIND",900.0000000000001,900.0000000000001,"cluster_5"
"Ryu-Ran","Normal Monster",7,"Dragon","FIRE",2200,2600,"cluster_5"
"Orion the Battle King","Normal Monster",5,"Fairy","LIGHT",1800.0000000000002,1500,"cluster_1"
"Consecrated Light","Effect Monster",1,"Fairy","LIGHT",0,0,"cluster_1"
"Twilight Rose Knight","Tuner Monster",3,"Warrior","DARK",1000,1000,"cluster_2"
"Cyberdark Keel","Effect Monster",4,"Machine","DARK",800,800,"cluster_4"
"Test Ape","Effect Monster",2,"Beast","EARTH",700.0000000000001,300,"cluster_1"
"Invader of the Throne","Flip Effect Monster",4,"Warrior","EARTH",1350,1700.0000000000002,"cluster_6"
"Superheavy Samurai Soulbang Cannon","Effect Monster",3,"Machine","EARTH",1000,1000,"cluster_4"
"Snow Dragon","Effect Monster",4,"Dragon","WATER",1400.0000000000002,900.0000000000001,"cluster_5"
"Return Zombie","Effect Monster",4,"Zombie","DARK",1000,1600,"cluster_2"
"Blackwing - Hillen the Tengu-wind","Tuner Monster",5,"Winged Beast","DARK",0,2300,"cluster_2"
"Yata-Garasu","Spirit Monster",2,"Fiend","WIND",200,100,"cluster_3"
"Gem-Knight Seraphinite","Fusion Monster",5,"Fairy","EARTH",2300,1400.0000000000002,"cluster_3"
"Superheavy Samurai Big Benkei","Effect Monster",8,"Machine","EARTH",1000,3500.0000000000005,"cluster_4"
"Flying Kamakiri 2","Normal Monster",4,"Insect","WIND",1500,800,"cluster_5"
"Puppet King","Effect Monster",7,"Warrior","EARTH",2800.0000000000005,2600,"cluster_6"
"Takuhee","Normal Monster",4,"Winged Beast","WIND",1450.0000000000002,1000,"cluster_6"
"Worm Solid","Effect Monster",4,"Reptile","LIGHT",1000,1600,"cluster_5"
"Evoltile Lagosucho","Effect Monster",3,"Reptile","FIRE",1200,500,"cluster_5"
"Hieratic Dragon of Su","Effect Monster",5.999999999999999,"Dragon","LIGHT",2200,1000,"cluster_5"
"Alligator's Sword Dragon","Fusion Monster",5,"Dragon","WIND",1700.0000000000002,1500,"cluster_0"
"Cyber Phoenix","Effect Monster",4,"Machine","FIRE",1200,1600,"cluster_4"
"Gravekeeper's Priestess","Effect Monster",3,"Spellcaster","DARK",1000,1500,"cluster_1"
"Mozarta the Melodious Maestra","Effect Monster",8,"Fairy","LIGHT",2600,2000,"cluster_1"
"C-Crush Wyvern","Union Effect Monster",4,"Machine","LIGHT",1200,2000,"cluster_0"
"Buster Blader, the Destruction Swordmaster","Effect Monster",7,"Warrior","EARTH",2600,2300,"cluster_6"
"Drill Warrior","Synchro Monster",5.999999999999999,"Warrior","EARTH",2400,2000,"cluster_6"
"Assault Beast","Effect Monster",4,"Beast-Warrior","EARTH",1900,1200,"cluster_4"
"Don Turtle","Effect Monster",3,"Reptile","WATER",1100,1200,"cluster_5"
"Stealth Bird","Effect Monster",3,"Winged Beast","DARK",700.0000000000001,1700.0000000000002,"cluster_2"
"Coach Soldier Wolfbark","Effect Monster",4,"Beast-Warrior","FIRE",1600,1200,"cluster_4"
"Evilswarm Zahak","Effect Monster",4,"Dragon","DARK",1850,850.0000000000001,"cluster_5"
"Dice Jar","Flip Effect Monster",3,"Rock","LIGHT",200,300,"cluster_6"
"White Duston","Normal Monster",1,"Fiend","LIGHT",0,1000,"cluster_6"
"Swordsman of Landstar","Normal Monster",3,"Warrior","EARTH",500,1200,"cluster_6"
"Merlin","Effect Monster",3,"Spellcaster","DARK",1400.0000000000002,500,"cluster_1"
"Shreddder","Effect Monster",4,"Machine","EARTH",1600,1000,"cluster_4"
"One Who Hunts Souls","Normal Monster",4,"Beast-Warrior","EARTH",1100,1000,"cluster_4"
"Gagaga Girl","Effect Monster",3,"Spellcaster","DARK",1000,800,"cluster_1"
"Skull Guardian","Ritual Monster",7,"Warrior","LIGHT",2050,2500,"cluster_3"
"Cyber Angel Idaten","Ritual Effect Monster",5.999999999999999,"Fairy","LIGHT",1600,2000,"cluster_3"
"Elemental HERO Great Tornado","Fusion Monster",8,"Warrior","WIND",2800.0000000000005,2200,"cluster_3"
"The Legendary Fisherman","Effect Monster",5,"Warrior","WATER",1850,1600,"cluster_6"
"Ally of Justice Searcher","Effect Monster",3,"Machine","DARK",1400.0000000000002,100,"cluster_4"
"Cyber Valley","Effect Monster",1,"Machine","LIGHT",0,0,"cluster_4"
"Shaddoll Beast","Flip Effect Monster",5,"Spellcaster","DARK",2200,1700.0000000000002,"cluster_1"
"Water Element","Normal Monster",3,"Aqua","WATER",900.0000000000001,700.0000000000001,"cluster_4"
"D.D. Scout Plane","Effect Monster",2,"Machine","DARK",800,1200,"cluster_4"
"Indiora Doom Volt the Cubic Emperor","Effect Monster",4,"Fairy","LIGHT",0,0,"cluster_1"
"Rampaging Rhynos","Effect Monster",3,"Beast-Warrior","EARTH",1500,1500,"cluster_4"
"Slot Machine","Normal Monster",7,"Machine","DARK",2000,2300,"cluster_4"
"Monk Fighter","Effect Monster",3,"Rock","EARTH",1300,1000,"cluster_6"
"Skypalace Gangaridai","XYZ Monster",10,"Machine","WIND",3400.0000000000005,3000,"cluster_4"
"Gravekeeper's Visionary","Effect Monster",8,"Spellcaster","DARK",2000,1800.0000000000002,"cluster_1"
"Fluffal Bear","Effect Monster",3,"Fairy","EARTH",1200,800,"cluster_1"
"Super Vehicroid - Stealth Union","Fusion Monster",9,"Machine","EARTH",3600.0000000000005,3000,"cluster_0"
"Absorbing Jar","Flip Effect Monster",3,"Rock","EARTH",600,500,"cluster_6"
"The Tripper Mercury","Effect Monster",8,"Aqua","WATER",2000,2000,"cluster_4"
"Magical Reflect Slime","Gemini Monster",3,"Aqua","WATER",700.0000000000001,1200,"cluster_0"
"Felgrand Dragon","Effect Monster",8,"Dragon","LIGHT",2800.0000000000005,2800.0000000000005,"cluster_5"
"Flower Cardian Boardefly","Synchro Monster",5.999999999999999,"Warrior","DARK",2000,2000,"cluster_2"
"Lucky Trinket","Normal Monster",2,"Spellcaster","LIGHT",600,800,"cluster_1"
"Lavalval Ignis","XYZ Monster",3,"Warrior","FIRE",1800.0000000000002,1400.0000000000002,"cluster_2"
"Hieratic Dragon of Eset","Effect Monster",5,"Dragon","LIGHT",1900,1200,"cluster_5"
"Shapesnatch","Normal Monster",5,"Machine","DARK",1200,1700.0000000000002,"cluster_4"
"Ninja Grandmaster Sasuke","Effect Monster",4,"Warrior","LIGHT",1800.0000000000002,1000,"cluster_6"
"Island Turtle","Normal Monster",4,"Aqua","WATER",1100,2000,"cluster_4"
"Evilswarm Salamandra","Effect Monster",4,"Dinosaur","DARK",1850,950,"cluster_5"
"Blackwing - Aurora the Northern Lights","Effect Monster",10,"Winged Beast","LIGHT",0,0,"cluster_6"
"Performage Stilts Launcher","Effect Monster",5.999999999999999,"Spellcaster","EARTH",2200,0,"cluster_1"
"G.B. Hunter","Effect Monster",4,"Warrior","EARTH",1200,2000,"cluster_6"
"Djinn Prognosticator of Rituals","Effect Monster",3,"Fiend","DARK",400,300,"cluster_2"
"Zoodiac Ramram","Effect Monster",4,"Beast-Warrior","EARTH",400,2000,"cluster_4"
"Cyber Laser Dragon","Effect Monster",7,"Machine","LIGHT",2400,1800.0000000000002,"cluster_4"
"Ancient Pixie Dragon","Synchro Monster",7,"Dragon","DARK",2100,3000,"cluster_5"
"Queen of Autumn Leaves","Normal Monster",5,"Plant","EARTH",1800.0000000000002,1500,"cluster_5"
"Eco, Mystical Spirit of the Forest","Effect Monster",4,"Plant","EARTH",1700.0000000000002,1000,"cluster_5"
"Performapal Turn Toad","Pendulum Effect Monster",2,"Aqua","WATER",0,800,"cluster_0"
"Mermaid Archer","Effect Monster",3,"Sea Serpent","WATER",1200,200,"cluster_4"
"Gladiator Beast Hoplomus","Effect Monster",4,"Rock","EARTH",700.0000000000001,2100,"cluster_6"
"Kiseitai","Effect Monster",2,"Fiend","DARK",300,800,"cluster_2"
"Splendid Rose","Synchro Monster",5.999999999999999,"Plant","WIND",2200,2000,"cluster_5"
"Scrap Recycler","Effect Monster",3,"Machine","EARTH",900.0000000000001,1200,"cluster_4"
"Sophia, Goddess of Rebirth","Effect Monster",11,"Fairy","DARK",3600.0000000000005,3400.0000000000005,"cluster_1"
"Newdoria","Effect Monster",4,"Fiend","DARK",1200,800,"cluster_2"
"Zoodiac Bunnyblast","Effect Monster",4,"Beast-Warrior","EARTH",800,800,"cluster_4"
"Familiar-Possessed - Hiita","Effect Monster",4,"Spellcaster","FIRE",1850,1500,"cluster_1"
"Leo Wizard","Normal Monster",5,"Spellcaster","EARTH",1350,1200,"cluster_1"
"The Dragon Dwelling in the Deep","Effect Monster",4,"Sea Serpent","WATER",1700.0000000000002,1400.0000000000002,"cluster_4"
"Mecha Phantom Beast Blackfalcon","Effect Monster",4,"Machine","WIND",1200,1700.0000000000002,"cluster_4"
"M-X-Saber Invoker","XYZ Monster",3,"Warrior","EARTH",1600,500,"cluster_6"
"SPYRAL GEAR - Drone","Effect Monster",1,"Machine","WIND",100,100,"cluster_4"
"Meklord Emperor Granel","Effect Monster",1,"Machine","EARTH",0,0,"cluster_4"
"Battlin' Boxer Counterpunch","Effect Monster",3,"Warrior","FIRE",0,1100,"cluster_2"
"Lion Alligator","Effect Monster",4,"Reptile","WATER",1900,200,"cluster_5"
"Imperion Magnum the Superconductive Battlebot","Fusion Monster",10,"Rock","EARTH",4000,4000,"cluster_3"
"Card Guard","Effect Monster",4,"Fiend","DARK",1600,500,"cluster_2"
"Lightray Gearfried","Effect Monster",8,"Warrior","LIGHT",2800.0000000000005,2200,"cluster_6"
"Molten Zombie","Effect Monster",4,"Pyro","FIRE",1600,400,"cluster_5"
"Evilswarm Kerykeion","Effect Monster",4,"Spellcaster","DARK",1600,1550,"cluster_1"
"Yubel - Terror Incarnate","Effect Monster",11,"Fiend","DARK",0,0,"cluster_2"
"Michael, the Arch-Lightsworn","Synchro Monster",7,"Dragon","LIGHT",2600,2000,"cluster_5"
"Superheavy Samurai Soulfire Suit","Effect Monster",2,"Machine","FIRE",800,800,"cluster_4"
"Chimera the Flying Mythical Beast","Fusion Monster",5.999999999999999,"Beast","WIND",2100,1800.0000000000002,"cluster_3"
"Performage Flame Eater","Effect Monster",4,"Spellcaster","FIRE",1200,1600,"cluster_1"
"Sauravis, the Ancient and Ascended","Ritual Effect Monster",7,"Dragon","LIGHT",2600,2800.0000000000005,"cluster_0"
"Performance of Sword","Ritual Monster",5.999999999999999,"Warrior","EARTH",1950,1850,"cluster_3"
"Spirit of the Pot of Greed","Effect Monster",1,"Fairy","LIGHT",100,100,"cluster_1"
"Genex Undine","Effect Monster",3,"Aqua","WATER",1200,600,"cluster_4"
"Necro Gardna","Effect Monster",3,"Warrior","DARK",600,1300,"cluster_2"
"Souls of the Forgotten","Normal Monster",2,"Fiend","DARK",900.0000000000001,200,"cluster_2"
"Mobius the Frost Monarch","Effect Monster",5.999999999999999,"Aqua","WATER",2400,1000,"cluster_4"
"Mountain Warrior","Normal Monster",3,"Beast-Warrior","EARTH",600,1000,"cluster_4"
"Shaddoll Hedgehog","Flip Effect Monster",3,"Spellcaster","DARK",800,200,"cluster_1"
"Informer Spider","Effect Monster",4,"Insect","EARTH",500,1800.0000000000002,"cluster_5"
"Buster Gundil the Cubic Behemoth","Effect Monster",4,"Beast","LIGHT",0,0,"cluster_1"
"Prediction Princess Astromorrigan","Flip Effect Monster",3,"Fairy","DARK",1300,0,"cluster_1"
"Submersible Carrier Aero Shark","XYZ Monster",3,"Fish","WATER",1900,1000,"cluster_1"
"Battle Ox","Normal Monster",4,"Beast-Warrior","EARTH",1700.0000000000002,1000,"cluster_4"
"Dinomist Spinos","Pendulum Effect Monster",5,"Machine","WATER",2500,1800.0000000000002,"cluster_4"
"Neos Wiseman","Effect Monster",10,"Spellcaster","LIGHT",3000,3000,"cluster_1"
"Elemental HERO Marine Neos","Fusion Monster",8,"Warrior","WATER",2800.0000000000005,2300,"cluster_3"
"Red-Eyes Zombie Dragon","Effect Monster",7,"Zombie","DARK",2400,2000,"cluster_2"
"Super-Nimble Mega Hamster","Flip Effect Monster",4,"Beast","EARTH",1100,1800.0000000000002,"cluster_1"
"Vylon Ohm","Effect Monster",4,"Fairy","LIGHT",1500,200,"cluster_1"
"Cameraclops","Effect Monster",4,"Warrior","LIGHT",1400.0000000000002,1600,"cluster_6"
"Jowls of Dark Demise","Flip Effect Monster",2,"Fiend","WATER",200,100,"cluster_6"
"Skull Mariner","Normal Monster",4,"Warrior","WATER",1600,900.0000000000001,"cluster_6"
"Evilswarm Obliviwisp","Effect Monster",4,"Pyro","DARK",450.00000000000006,2050,"cluster_5"
