Name,Type,Level,Race,Attribute,ATK,DEF
Don Turtle,Effect Monster,3,Reptile,WATER,1100,1200
Stealth Bird,Effect Monster,3,Winged Beast,DARK,700,1700
Coach Soldier Wolfbark,Effect Monster,4,Beast-Warrior,FIRE,1600,1200
Evilswarm Zahak,Effect Monster,4,Dragon,DARK,1850,850
Dice Jar,Flip Effect Monster,3,Rock,LIGHT,200,300
White Duston,Normal Monster,1,Fiend,LIGHT,0,1000
Swordsman of Landstar,Normal Monster,3,Warrior,EARTH,500,1200
Merlin,Effect Monster,3,Spellcaster,DARK,1400,500
Shreddder,Effect Monster,4,Machine,EARTH,1600,1000
One Who Hunts Souls,Normal Monster,4,Beast-Warrior,EARTH,1100,1000
Gagaga Girl,Effect Monster,3,Spellcaster,DARK,1000,800
Skull Guardian,Ritual Monster,7,Warrior,LIGHT,2050,2500
Cyber Angel Idaten,Ritual Effect Monster,6,Fairy,LIGHT,1600,2000
Elemental HERO Great Tornado,Fusion Monster,8,Warrior,WIND,2800,2200
The Legendary Fisherman,Effect Monster,5,Warrior,WATER,1850,1600
Ally of Justice Searcher,Effect Monster,3,Machine,DARK,1400,100
Cyber Valley,Effect Monster,1,Machine,LIGHT,0,0
Shaddoll Beast,Flip Effect Monster,5,Spellcaster,DARK,2200,1700
Water Element,Normal Monster,3,Aqua,WATER,900,700
D.D. Scout Plane,Effect Monster,2,Machine,DARK,800,1200
Indiora Doom Volt the Cubic Emperor,Effect Monster,4,Fairy,LIGHT,0,0
Rampaging Rhynos,Effect Monster,3,Beast-Warrior,EARTH,1500,1500
Slot Machine,Normal Monster,7,Machine,DARK,2000,2300
Monk Fighter,Effect Monster,3,Rock,EARTH,1300,1000
Skypalace Gangaridai,XYZ Monster,10,Machine,WIND,3400,3000
Gravekeeper's Visionary,Effect Monster,8,Spellcaster,DARK,2000,1800
Fluffal Bear,Effect Monster,3,Fairy,EARTH,1200,800
Super Vehicroid - Stealth Union,Fusion Monster,9,Machine,EARTH,3600,3000
Absorbing Jar,Flip Effect Monster,3,Rock,EARTH,600,500
The Tripper Mercury,Effect Monster,8,Aqua,WATER,2000,2000
Magical Reflect Slime,Gemini Monster,3,Aqua,WATER,700,1200
Felgrand Dragon,Effect Monster,8,Dragon,LIGHT,2800,2800
Flower Cardian Boardefly,Synchro Monster,6,Warrior,DARK,2000,2000
Lucky Trinket,Normal Monster,2,Spellcaster,LIGHT,600,800
Lavalval Ignis,XYZ Monster,3,Warrior,FIRE,1800,1400
Hieratic Dragon of Eset,Effect Monster,5,Dragon,LIGHT,1900,1200
Shapesnatch,Normal Monster,5,Machine,DARK,1200,1700
Ninja Grandmaster Sasuke,Effect Monster,4,Warrior,LIGHT,1800,1000
Island Turtle,Normal Monster,4,Aqua,WATER,1100,2000
Evilswarm Salamandra,Effect Monster,4,Dinosaur,DARK,1850,950
Blackwing - Aurora the Northern Lights,Effect Monster,10,Winged Beast,LIGHT,0,0
Performage Stilts Launcher,Effect Monster,6,Spellcaster,EARTH,2200,0
G.B. Hunter,Effect Monster,4,Warrior,EARTH,1200,2000
Djinn Prognosticator of Rituals,Effect Monster,3,Fiend,DARK,400,300
Zoodiac Ramram,Effect Monster,4,Beast-Warrior,EARTH,400,2000
Cyber Laser Dragon,Effect Monster,7,Machine,LIGHT,2400,1800
Ancient Pixie Dragon,Synchro Monster,7,Dragon,DARK,2100,3000
Queen of Autumn Leaves,Normal Monster,5,Plant,EARTH,1800,1500
"Eco, Mystical Spirit of the Forest",Effect Monster,4,Plant,EARTH,1700,1000
Performapal Turn Toad,Pendulum Effect Monster,2,Aqua,WATER,0,800
Mermaid Archer,Effect Monster,3,Sea Serpent,WATER,1200,200
Gladiator Beast Hoplomus,Effect Monster,4,Rock,EARTH,700,2100
Kiseitai,Effect Monster,2,Fiend,DARK,300,800
Splendid Rose,Synchro Monster,6,Plant,WIND,2200,2000
Scrap Recycler,Effect Monster,3,Machine,EARTH,900,1200
"Sophia, Goddess of Rebirth",Effect Monster,11,Fairy,DARK,3600,3400
Newdoria,Effect Monster,4,Fiend,DARK,1200,800
Zoodiac Bunnyblast,Effect Monster,4,Beast-Warrior,EARTH,800,800
Familiar-Possessed - Hiita,Effect Monster,4,Spellcaster,FIRE,1850,1500
Leo Wizard,Normal Monster,5,Spellcaster,EARTH,1350,1200
The Dragon Dwelling in the Deep,Effect Monster,4,Sea Serpent,WATER,1700,1400
Mecha Phantom Beast Blackfalcon,Effect Monster,4,Machine,WIND,1200,1700
M-X-Saber Invoker,XYZ Monster,3,Warrior,EARTH,1600,500
SPYRAL GEAR - Drone,Effect Monster,1,Machine,WIND,100,100
Meklord Emperor Granel,Effect Monster,1,Machine,EARTH,0,0
Battlin' Boxer Counterpunch,Effect Monster,3,Warrior,FIRE,0,1100
Lion Alligator,Effect Monster,4,Reptile,WATER,1900,200
Imperion Magnum the Superconductive Battlebot,Fusion Monster,10,Rock,EARTH,4000,4000
Card Guard,Effect Monster,4,Fiend,DARK,1600,500
Lightray Gearfried,Effect Monster,8,Warrior,LIGHT,2800,2200
Molten Zombie,Effect Monster,4,Pyro,FIRE,1600,400
Evilswarm Kerykeion,Effect Monster,4,Spellcaster,DARK,1600,1550
Yubel - Terror Incarnate,Effect Monster,11,Fiend,DARK,0,0
"Michael, the Arch-Lightsworn",Synchro Monster,7,Dragon,LIGHT,2600,2000
Superheavy Samurai Soulfire Suit,Effect Monster,2,Machine,FIRE,800,800
Chimera the Flying Mythical Beast,Fusion Monster,6,Beast,WIND,2100,1800
Performage Flame Eater,Effect Monster,4,Spellcaster,FIRE,1200,1600
"Sauravis, the Ancient and Ascended",Ritual Effect Monster,7,Dragon,LIGHT,2600,2800
Performance of Sword,Ritual Monster,6,Warrior,EARTH,1950,1850
Spirit of the Pot of Greed,Effect Monster,1,Fairy,LIGHT,100,100
Genex Undine,Effect Monster,3,Aqua,WATER,1200,600
Necro Gardna,Effect Monster,3,Warrior,DARK,600,1300
Souls of the Forgotten,Normal Monster,2,Fiend,DARK,900,200
Mobius the Frost Monarch,Effect Monster,6,Aqua,WATER,2400,1000
Mountain Warrior,Normal Monster,3,Beast-Warrior,EARTH,600,1000
Shaddoll Hedgehog,Flip Effect Monster,3,Spellcaster,DARK,800,200
Informer Spider,Effect Monster,4,Insect,EARTH,500,1800
Buster Gundil the Cubic Behemoth,Effect Monster,4,Beast,LIGHT,0,0
Prediction Princess Astromorrigan,Flip Effect Monster,3,Fairy,DARK,1300,0
Submersible Carrier Aero Shark,XYZ Monster,3,Fish,WATER,1900,1000
Battle Ox,Normal Monster,4,Beast-Warrior,EARTH,1700,1000
Dinomist Spinos,Pendulum Effect Monster,5,Machine,WATER,2500,1800
Neos Wiseman,Effect Monster,10,Spellcaster,LIGHT,3000,3000
Elemental HERO Marine Neos,Fusion Monster,8,Warrior,WATER,2800,2300
Red-Eyes Zombie Dragon,Effect Monster,7,Zombie,DARK,2400,2000
Super-Nimble Mega Hamster,Flip Effect Monster,4,Beast,EARTH,1100,1800
Vylon Ohm,Effect Monster,4,Fairy,LIGHT,1500,200
Cameraclops,Effect Monster,4,Warrior,LIGHT,1400,1600
Jowls of Dark Demise,Flip Effect Monster,2,Fiend,WATER,200,100
Skull Mariner,Normal Monster,4,Warrior,WATER,1600,900
Evilswarm Obliviwisp,Effect Monster,4,Pyro,DARK,450,2050
Elemental HERO Neo Bubbleman,Effect Monster,4,Warrior,WATER,800,1200
Chronomaly Tula Guardian,Effect Monster,5,Rock,EARTH,1800,900
Revived King Ha Des,Synchro Monster,6,Zombie,DARK,2450,0
Battlin' Boxer Glassjaw,Effect Monster,4,Warrior,FIRE,2000,0
Steam Gyroid,Fusion Monster,6,Machine,EARTH,2200,1600
Cyber Dragon Zwei,Effect Monster,4,Machine,LIGHT,1500,1000
Darkfire Soldier 1,Normal Monster,4,Pyro,FIRE,1700,1150
Black Luster Soldier,Ritual Monster,8,Warrior,EARTH,3000,2500
Headless Knight,Normal Monster,4,Fiend,EARTH,1450,1700
Warrior Lady of the Wasteland,Effect Monster,4,Warrior,EARTH,1100,1200
Blazing Inpachi,Normal Monster,4,Pyro,FIRE,1850,0
Flower Cardian Cherry Blossom with Curtain,Effect Monster,3,Warrior,DARK,2000,2000
"Scarr, Scout of Dark World",Effect Monster,2,Fiend,DARK,500,500
Majespecter Cat - Nekomata,Pendulum Effect Monster,3,Spellcaster,WIND,100,1800
Counselor Lily,Tuner Monster,3,Fairy,EARTH,400,1500
Wattberyx,Tuner Monster,3,Thunder,LIGHT,300,0
Machina Fortress,Effect Monster,7,Machine,EARTH,2500,1600
Samsara Lotus,Effect Monster,1,Plant,DARK,0,0
Humanoid Worm Drake,Fusion Monster,7,Aqua,WATER,2200,2000
Flying Penguin,Normal Monster,4,Aqua,WATER,1200,1000
Hannibal Necromancer,Effect Monster,4,Spellcaster,DARK,1400,1800
Splendid Venus,Effect Monster,8,Fairy,LIGHT,2800,2400
Weeping Idol,Effect Monster,2,Rock,DARK,0,500
Creation Resonator,Tuner Monster,3,Fiend,WIND,800,600
Koa'ki Meiru Ghoulungulate,Effect Monster,5,Zombie,EARTH,2500,1700
Bujingi Turtle,Effect Monster,4,Beast,LIGHT,1700,1200
Gazelle the King of Mythical Beasts,Normal Monster,4,Beast,EARTH,1500,1200
Arcana Force EX - The Light Ruler,Effect Monster,10,Fairy,LIGHT,4000,4000
Queen's Double,Effect Monster,1,Warrior,EARTH,350,300
Shopina the Melodious Maestra,Effect Monster,7,Fairy,LIGHT,2300,1700
Raidraptor - Fuzzy Lanius,Effect Monster,4,Winged Beast,DARK,500,1500
Gladiator Beast Murmillo,Effect Monster,3,Fish,WATER,800,400
XX-Saber Boggart Knight,Effect Monster,4,Beast-Warrior,EARTH,1900,1000
"Uria, Lord of Searing Flames",Effect Monster,10,Pyro,FIRE,0,0
Doomkaiser Dragon,Synchro Monster,6,Zombie,FIRE,2400,1500
Magical Exemplar,Effect Monster,4,Spellcaster,EARTH,1700,1400
Paladin of Felgrand,Effect Monster,4,Warrior,LIGHT,1700,300
Beaked Snake,Normal Monster,3,Reptile,EARTH,800,900
Emissary of the Oasis,Effect Monster,3,Spellcaster,LIGHT,600,400
Bubonic Vermin,Flip Effect Monster,3,Beast,EARTH,900,600
Mazera DeVille,Effect Monster,8,Fiend,DARK,2800,2300
Turbo Rocket,Tuner Monster,2,Machine,WIND,0,0
Fluffal Mouse,Effect Monster,1,Fairy,EARTH,100,100
Arcana Knight Joker,Fusion Monster,9,Warrior,LIGHT,3800,2500
Arcana Knight Joker,Fusion Monster,9,Warrior,LIGHT,3800,2500
"Brron, Mad King of Dark World",Effect Monster,4,Fiend,DARK,1800,400
R-Genex Turbo,Effect Monster,4,Machine,WIND,1500,1300
Amorphage Pride,Pendulum Effect Monster,4,Dragon,EARTH,1750,0
The Wicked Worm Beast,Effect Monster,3,Beast,EARTH,1400,700
Burglar,Normal Monster,3,Beast,EARTH,850,800
Koa'ki Meiru Boulder,Effect Monster,4,Rock,EARTH,1200,1000
DZW - Chimera Clad,Effect Monster,1,Fiend,DARK,0,0
Rapid-Fire Magician,Effect Monster,4,Spellcaster,DARK,1600,1200
Dawn Knight,Effect Monster,4,Warrior,LIGHT,1400,1200
Brotherhood of the Fire Fist - Bear,Effect Monster,4,Beast-Warrior,FIRE,1600,1200
Eldeen,Normal Monster,3,Spellcaster,LIGHT,950,1000
Gaia The Fierce Knight,Normal Monster,7,Warrior,EARTH,2300,2100
Gaia The Fierce Knight,Normal Monster,7,Warrior,EARTH,2300,2100
Cyber Commander,Normal Monster,2,Machine,DARK,750,700
Kaiser Sea Snake,Effect Monster,8,Sea Serpent,WATER,2500,1000
Wroughtweiler,Effect Monster,3,Machine,EARTH,800,1200
"Radius, the Half-Moon Dragon",Effect Monster,4,Dragon,LIGHT,1400,1200
Traptrix Rafflesia,XYZ Monster,4,Plant,EARTH,300,2500
Izanagi,Effect Monster,6,Fairy,WIND,2200,1000
Thermal Genex,Synchro Monster,8,Machine,FIRE,2400,1200
"Blaze Fenix, the Burning Bombardment Bird",Fusion Monster,8,Pyro,FIRE,2800,2300
Fog King,Effect Monster,7,Spellcaster,WATER,0,0
Beautunaful Princess,Effect Monster,1,Fish,WATER,0,0
Beginning Knight,Effect Monster,4,Warrior,LIGHT,500,2000
Frostosaurus,Normal Monster,6,Dinosaur,WATER,2600,1700
Seiyaryu,Normal Monster,7,Dragon,LIGHT,2500,2300
The Great Emperor Penguin,Effect Monster,5,Aqua,WATER,1800,1500
Barox,Fusion Monster,5,Fiend,DARK,1380,1530
Super-Ancient Dinobeast,Effect Monster,8,Dinosaur,EARTH,2700,1400
Phantom King Hydride,Tuner Monster,3,Fiend,DARK,1500,300
Power Breaker,Effect Monster,4,Warrior,EARTH,1900,0
Harpie's Pet Baby Dragon,Effect Monster,4,Dragon,WIND,1200,600
Schwarzschild Limit Dragon,Effect Monster,8,Dragon,DARK,2000,0
Dark Scorpion - Cliff the Trap Remover,Effect Monster,3,Warrior,DARK,1200,1000
Woodland Sprite,Effect Monster,3,Plant,EARTH,900,400
Insect Soldiers of the Sky,Effect Monster,3,Insect,WIND,1000,800
Power Giant,Effect Monster,6,Rock,EARTH,2200,0
Express Train Trolley Olley,Effect Monster,4,Machine,EARTH,1800,1000
Magician's Rod,Effect Monster,3,Spellcaster,DARK,1600,100
Hane-Hane,Flip Effect Monster,2,Beast,EARTH,450,500
Crystal Beast Sapphire Pegasus,Effect Monster,4,Beast,WIND,1800,1200
"Lector Pendulum, the Dracoverlord",Pendulum Effect Monster,4,Dragon,DARK,1950,0
Umbral Horror Ghoul,Effect Monster,4,Fiend,DARK,1800,0
Toon Ancient Gear Golem,Toon Monster,8,Machine,EARTH,3000,3000
Armor Exe,Effect Monster,4,Rock,LIGHT,2400,1400
"Aurkus, Lightsworn Druid",Effect Monster,3,Beast-Warrior,LIGHT,1200,1800
Chocolate Magician Girl,Effect Monster,4,Spellcaster,WATER,1600,1000
Metal Shooter,Effect Monster,5,Machine,LIGHT,800,800
Mon Larvas,Normal Monster,4,Beast,EARTH,1300,1400
Curse of Dragonfire,Effect Monster,5,Dragon,DARK,2000,1500
Koalo-Koala,Fusion Monster,6,Beast,EARTH,2800,200
Infernity Beast,Effect Monster,3,Beast,DARK,1600,1200
Performapal Life Swordsman,Effect Monster,1,Warrior,LIGHT,0,0
Abyss Actor - Twinkle Littlestar,Pendulum Effect Monster,4,Fiend,DARK,1000,1000
Naturia Pineapple,Effect Monster,2,Plant,EARTH,100,100
Amorphage Greed,Pendulum Effect Monster,4,Dragon,EARTH,0,1950
