"Age","Gender","HomeOwnership","InternetConnection","MaritalStatus","CellphoneService","NumCars","PPVFreq","MobileOperatingSystem","StreamingRadio","CustomerID","EducationLevel","Cluster"
40,"Male","Rent","Mega cable","Married","Telcel",5,"Never","Android","Amazon Music",882364,"Bachelor","cluster_0"
29.999999999999996,"Male","Rent","Mega cable","Married","Movistar",1,"Never","Android","Amazon Music",882366,"Doctorate","cluster_0"
38,"Male","Rent","Mega cable","Married","Telcel",2,"Weekly","Android","Amazon Music",882367,"Bachelor","cluster_0"
38,"Male","Rent","Axtel","Married","Telcel",2,"Weekly","IOS","Amazon Music",882368,"Some College","cluster_0"
33,"Male","Rent","Other","Married","Telcel",2,"Monthly","Android","Amazon Music",882371,"Master's Degree","cluster_0"
33,"Male","Own","Mega cable","Married","Telcel",2,"Weekly","Windows phone","Amazon Music",882372,"Master's Degree","cluster_0"
40,"Male","Rent","Mega cable","Other","Movistar",1,"Never","Android","Amazon Music",882375,"Associate's Degree","cluster_0"
25,"Male","Rent","Telmex","Never Married","Movistar",1,"Never","Android","Amazon Music",882376,"High School","cluster_0"
33,"Male","Rent","Axtel","Married","Movistar",2,"Never","Android","Amazon Music",882377,"Master's Degree","cluster_0"
41,"Male","Own","Mega cable","Married","Telcel",3,"Weekly","IOS","Amazon Music",882382,"Master's Degree","cluster_0"
45,"Male","Rent","Mega cable","Married","Telcel",2,"Never","Android","Amazon Music",882383,"Doctorate","cluster_0"
33,"Female","Rent","Mega cable","Married","Telcel",2,"Rarely","IOS","Amazon Music",882387,"Master's Degree","cluster_0"
29.999999999999996,"Male","Rent","Telmex","Divorced","Movistar",1,"Rarely","IOS","Amazon Music",882388,"Some College","cluster_0"
47,"Male","Rent","Telmex","Divorced","Movistar",1,"Weekly","Android","Amazon Music",882391,"Master's Degree","cluster_0"
33,"Female","Rent","Mega cable","Married","Movistar",2,"Weekly","IOS","Amazon Music",882392,"Bachelor","cluster_0"
26,"Male","Rent","Telmex","Married","Movistar",1,"Never","Android","Amazon Music",882393,"Bachelor","cluster_0"
29.999999999999996,"Male","Rent","Mega cable","Married","Movistar",1,"Never","Android","Amazon Music",882395,"Bachelor","cluster_0"
28,"Male","Own","Mega cable","Married","Telcel",2,"Monthly","Android","Amazon Music",882397,"Bachelor","cluster_0"
25,"Male","Rent","Telmex","Never Married","Telcel",1,"Rarely","IOS","Amazon Music",882398,"High School","cluster_0"
38,"Male","Rent","Axtel","Married","Telcel",2,"Weekly","IOS","Amazon Music",882402,"Bachelor","cluster_0"
26,"Male","Rent","Mega cable","Married","Movistar",1,"Never","Android","Amazon Music",882403,"Bachelor","cluster_0"
32,"Male","Own","Axtel","Married","Telcel",2,"Never","Android","Amazon Music",882407,"Bachelor","cluster_0"
29.999999999999996,"Male","Rent","Mega cable","Never Married","Telcel",1,"Monthly","Android","Amazon Music",882409,"High School","cluster_0"
33,"Male","Own","Telmex","Married","Telcel",4,"Weekly","Android","Amazon Music",882410,"Bachelor","cluster_0"
29,"Male","Rent","Axtel","Married","Telcel",2,"Rarely","IOS","Amazon Music",882413,"Master's Degree","cluster_0"
48,"Male","Rent","Telmex","Never Married","Movistar",1,"Never","Android","Amazon Music",882414,"High School","cluster_0"
31,"Male","Rent","Axtel","Married","Telcel",2,"Never","Android","Spotify",882415,"Bachelor","cluster_0"
29.999999999999996,"Female","Own","Mega cable","Married","Telcel",2,"Never","IOS","YT Music",882419,"Master's Degree","cluster_0"
40,"Male","Rent","Axtel","Married","Telcel",4,"Weekly","Android","YT Music",882423,"Bachelor","cluster_0"
31,"Male","Rent","Axtel","Never Married","Telcel",1,"Never","Android","YT Music",882424,"High School","cluster_0"
39,"Male","Rent","Mega cable","Married","Movistar",1,"Never","Android","YT Music",882425,"Master's Degree","cluster_0"
33,"Male","Rent","Telmex","Married","Telcel",1,"Weekly","IOS","YT Music",882426,"Master's Degree","cluster_0"
25,"Male","Rent","Mega cable","Never Married","Movistar",0,"Never","Android","YT Music",882428,"High School","cluster_0"
29.999999999999996,"Male","Rent","Axtel","Married","Telcel",1,"Never","Android","YT Music",882429,"Master's Degree","cluster_0"
40,"Male","Rent","Axtel","Married","Telcel",3,"Weekly","IOS","YT Music",882433,"Master's Degree","cluster_0"
31,"Male","Rent","Mega cable","Married","Telcel",1,"Rarely","IOS","YT Music",882434,"Bachelor","cluster_0"
39,"Male","Own","Axtel","Married","Telcel",2,"Weekly","Android","YT Music",882435,"Post-Doc","cluster_0"
27,"Male","Rent","Axtel","Married","Movistar",1,"Never","Android","Spotify",882437,"Bachelor","cluster_0"
38,"Female","Rent","Axtel","Married","Movistar",5,"Rarely","IOS","Spotify",882439,"Bachelor","cluster_0"
27,"Female","Rent","Telmex","Married","Telcel",2,"Never","IOS","YT Music",882440,"Bachelor","cluster_0"
29.999999999999996,"Male","Rent","Axtel","Married","Telcel",2,"Never","Android","YT Music",882442,"Doctorate","cluster_0"
33,"Male","Rent","Axtel","Married","Telcel",2,"Monthly","Android","YT Music",882444,"Bachelor","cluster_0"
41,"Male","Rent","Telmex","Married","Telcel",3,"Weekly","Windows phone","Spotify",882446,"Master's Degree","cluster_0"
43,"Male","Rent","Axtel","Married","Telcel",2,"Weekly","Android","Spotify",882449,"Master's Degree","cluster_0"
23,"Male","Rent","Axtel","Never Married","Movistar",1,"Never","Android","YT Music",882451,"High School","cluster_0"
24,"Male","Rent","Axtel","Never Married","Telcel",1,"Rarely","IOS","YT Music",882452,"High School","cluster_0"
31,"Male","Rent","Mega cable","Never Married","Telcel",1,"Never","Android","YT Music",882457,"High School","cluster_0"
31,"Male","Rent","Telmex","Married","Telcel",2,"Weekly","Android","Spotify",882459,"Bachelor","cluster_0"
29.999999999999996,"Female","Rent","Mega cable","Never Married","Movistar",1,"Never","Android","YT Music",882462,"High School","cluster_0"
21.999999999999996,"Male","Rent","Mega cable","Never Married","Movistar",1,"Never","Android","YT Music",882463,"High School","cluster_0"
33,"Male","Own","Telmex","Never Married","Movistar",1,"Never","Android","YT Music",882464,"High School","cluster_0"
24,"Male","Rent","Mega cable","Never Married","Movistar",0,"Rarely","IOS","Spotify",882465,"High School","cluster_0"
39,"Male","Rent","Axtel","Married","Telcel",1,"Never","Android","YT Music",882467,"Master's Degree","cluster_0"
52,"Male","Rent","Telmex","Married","Telcel",3,"Weekly","IOS","Spotify",882469,"Master's Degree","cluster_0"
31,"Male","Rent","Axtel","Married","Telcel",4,"Rarely","IOS","YT Music",882471,"Bachelor","cluster_0"
33,"Female","Rent","Mega cable","Married","Movistar",2,"Monthly","IOS","YT Music",882475,"Master's Degree","cluster_0"
29,"Male","Rent","Axtel","Married","Telcel",2,"Rarely","IOS","YT Music",882476,"Bachelor","cluster_0"
31,"Male","Rent","Axtel","Married","Telcel",2,"Rarely","IOS","Spotify",882478,"Master's Degree","cluster_0"
35,"Male","Rent","Mega cable","Married","Telcel",2,"Weekly","IOS","YT Music",882479,"Bachelor","cluster_0"
28,"Male","Own","Mega cable","Married","Telcel",2,"Never","Android","YT Music",882481,"Bachelor","cluster_0"
32,"Male","Rent","Mega cable","Married","Telcel",2,"Never","Android","Spotify",882482,"Master's Degree","cluster_0"
36,"Male","Own","Axtel","Married","Telcel",2,"Weekly","Android","YT Music",882483,"Master's Degree","cluster_0"
27,"Male","Rent","Mega cable","Married","Telcel",1,"Never","Android","YT Music",882484,"Bachelor","cluster_0"
21,"Male","Rent","Axtel","Never Married","Movistar",1,"Rarely","IOS","YT Music",882491,"High School","cluster_0"
25,"Male","Own","Mega cable","Never Married","Movistar",1,"Weekly","Windows phone","YT Music",882494,"High School","cluster_0"
27,"Male","Rent","Axtel","Married","Movistar",2,"Weekly","IOS","YT Music",882497,"Master's Degree","cluster_0"
38,"Male","Own","Mega cable","Never Married","Telcel",1,"Monthly","Android","YT Music",882500,"High School","cluster_0"
33,"Male","Rent","Telmex","Divorced","Movistar",1,"Never","Android","YT Music",882501,"Master's Degree","cluster_0"
27,"Male","Rent","Axtel","Married","Telcel",3,"Rarely","IOS","YT Music",882503,"Bachelor","cluster_0"
28,"Male","Rent","Izzi","Married","Telcel",1,"Never","Android","Spotify",882504,"Master's Degree","cluster_0"
40,"Male","Rent","Mega cable","Divorced","Movistar",1,"Weekly","IOS","YT Music",882506,"Bachelor","cluster_0"
51,"Male","Rent","Telmex","Married","Telcel",3,"Weekly","Android","YT Music",882507,"Trade School","cluster_0"
29,"Male","Own","Axtel","Married","Telcel",2,"Never","Android","YT Music",882508,"Associate's Degree","cluster_0"
28,"Male","Own","Mega cable","Married","Telcel",3,"Weekly","Android","YT Music",882512,"Some College","cluster_0"
36,"Male","Rent","Telmex","Married","Telcel",2,"Never","Android","YT Music",882515,"Master's Degree","cluster_0"
29.999999999999996,"Male","Rent","Telmex","Never Married","Movistar",1,"Never","Android","Spotify",882517,"High School","cluster_0"
37,"Female","Rent","Mega cable","Married","Telcel",2,"Weekly","IOS","YT Music",882518,"Master's Degree","cluster_0"
33,"Male","Own","Telmex","Married","Telcel",2,"Never","Android","YT Music",882521,"Doctorate","cluster_0"
38,"Male","Rent","Axtel","Married","Telcel",2,"Weekly","IOS","YT Music",882522,"Bachelor","cluster_0"
27,"Male","Own","Axtel","Never Married","Telcel",1,"Never","Android","YT Music",882523,"High School","cluster_0"
29.999999999999996,"Male","Rent","Telmex","Never Married","Movistar",1,"Rarely","IOS","YT Music",882527,"High School","cluster_0"
28,"Male","Rent","Mega cable","Never Married","Telcel",1,"Rarely","IOS","YT Music",882531,"High School","cluster_0"
28,"Male","Rent","Axtel","Married","Telcel",2,"Rarely","IOS","YT Music",882532,"Some College","cluster_0"
25,"Male","Rent","Axtel","Married","Telcel",2,"Never","Android","YT Music",882535,"Bachelor","cluster_0"
27,"Female","Rent","Mega cable","Married","Movistar",2,"Monthly","IOS","YT Music",882537,"Bachelor","cluster_0"
38,"Male","Rent","Telmex","Married","Telcel",2,"Weekly","IOS","Spotify",882543,"Bachelor","cluster_0"
32,"Male","Rent","Mega cable","Married","Telcel",2,"Rarely","IOS","YT Music",882545,"Master's Degree","cluster_0"
43.99999999999999,"Male","Rent","Axtel","Married","Telcel",2,"Monthly","Android","YT Music",882550,"Master's Degree","cluster_0"
24,"Female","Rent","Axtel","Married","Movistar",2,"Never","IOS","YT Music",882551,"Master's Degree","cluster_0"
31,"Male","Own","Telmex","Married","Telcel",2,"Weekly","Windows phone","YT Music",882553,"Bachelor","cluster_0"
32,"Male","Own","Axtel","Married","Telcel",2,"Never","Android","YT Music",882559,"Bachelor","cluster_0"
23,"Male","Rent","Mega cable","Never Married","Movistar",1,"Never","Android","YT Music",882560,"High School","cluster_0"
45,"Female","Rent","Telmex","Married","Movistar",2,"Never","IOS","Spotify",882563,"Associate's Degree","cluster_0"
36,"Male","Rent","Axtel","Married","Telcel",2,"Weekly","IOS","YT Music",882564,"Bachelor","cluster_0"
24,"Female","Own","Telmex","Married","Telcel",2,"Never","IOS","YT Music",882565,"Bachelor","cluster_0"
31,"Male","Rent","Mega cable","Married","Telcel",2,"Never","Android","YT Music",882569,"Bachelor","cluster_0"
24,"Female","Own","Mega cable","Never Married","Movistar",1,"Never","Android","YT Music",882573,"High School","cluster_0"
24,"Female","Rent","Telmex","Never Married","Movistar",1,"Rarely","Android","YT Music",882574,"High School","cluster_0"
25,"Male","Rent","Mega cable","Married","Movistar",1,"Never","Android","Spotify",882576,"Bachelor","cluster_0"
36,"Male","Rent","Telmex","Married","Telcel",2,"Monthly","Android","YT Music",882577,"Bachelor","cluster_0"
48,"Female","Rent","Telmex","Married","AT&T",3,"Weekly","IOS","YT Music",882578,"Bachelor","cluster_0"
21.999999999999996,"Male","Rent","Mega cable","Never Married","Telcel",0,"Never","Android","YT Music",882581,"High School","cluster_0"
37,"Male","Rent","Axtel","Never Married","Telcel",1,"Rarely","IOS","YT Music",882583,"High School","cluster_0"
55,"Male","Rent","Mega cable","Separated","Telcel",2,"Rarely","IOS","YT Music",882585,"Master's Degree","cluster_0"
36,"Female","Rent","Telmex","Married","AT&T",3,"Weekly","IOS","Spotify",882587,"Bachelor","cluster_0"
28,"Male","Rent","Mega cable","Married","Movistar",1,"Never","Android","YT Music",882590,"Master's Degree","cluster_0"
47,"Female","Own","Axtel","Other","Movistar",1,"Weekly","Android","YT Music",882591,"Master's Degree","cluster_0"
32,"Female","Rent","Telmex","Married","Telcel",2,"Weekly","IOS","Spotify",882593,"Bachelor","cluster_0"
28,"Male","Rent","Axtel","Never Married","Movistar",1,"Never","Android","YT Music",882594,"High School","cluster_0"
27,"Female","Rent","Telmex","Never Married","Movistar",1,"Rarely","Android","YT Music",882597,"High School","cluster_0"
28,"Male","Rent","Mega cable","Married","Telcel",3,"Weekly","Android","YT Music",882599,"Some College","cluster_0"
27,"Male","Rent","Telmex","Never Married","Movistar",1,"Never","Android","YT Music",882600,"High School","cluster_0"
37,"Male","Own","Axtel","Married","Telcel",2,"Weekly","Android","YT Music",882602,"Post-Doc","cluster_0"
23,"Male","Rent","Telmex","Never Married","Movistar",2,"Rarely","IOS","YT Music",882607,"High School","cluster_0"
34,"Male","Own","Mega cable","Married","Telcel",2,"Rarely","IOS","YT Music",882608,"Bachelor","cluster_0"
40,"Male","Own","Telmex","Married","Telcel",2,"Weekly","Android","YT Music",882609,"Some College","cluster_0"
29.999999999999996,"Male","Rent","Axtel","Married","Movistar",1,"Weekly","Android","YT Music",882612,"Master's Degree","cluster_0"
35,"Male","Rent","Mega cable","Married","Telcel",2,"Weekly","IOS","YT Music",882616,"Associate's Degree","cluster_0"
29.999999999999996,"Male","Rent","Mega cable","Married","Telcel",2,"Monthly","Android","YT Music",882621,"Bachelor","cluster_0"
26,"Male","Rent","Axtel","Never Married","Telcel",1,"Never","Android","YT Music",882622,"High School","cluster_0"
33,"Male","Own","Telmex","Never Married","Telcel",1,"Rarely","IOS","YT Music",882623,"High School","cluster_0"
26,"Male","Rent","Mega cable","Married","Telcel",1,"Never","Android","YT Music",882626,"Grade School","cluster_0"
23,"Male","Own","Axtel","Never Married","Telcel",1,"Never","Android","YT Music",882627,"High School","cluster_0"
55,"Male","Rent","Mega cable","Other","Telcel",1,"Never","Android","Spotify",882628,"Some College","cluster_0"
35,"Male","Rent","Axtel","Married","Telcel",2,"Weekly","Android","YT Music",882631,"Bachelor","cluster_0"
45,"Male","Rent","Mega cable","Never Married","Telcel",4,"Rarely","IOS","YT Music",882632,"High School","cluster_0"
42,"Male","Rent","Mega cable","Married","Telcel",2,"Weekly","Android","YT Music",882636,"Master's Degree","cluster_0"
33,"Male","Rent","Axtel","Never Married","Telcel",1,"Rarely","IOS","YT Music",882638,"High School","cluster_0"
27,"Male","Rent","Telmex","Married","Telcel",1,"Never","Android","YT Music",882639,"Bachelor","cluster_0"
56,"Female","Rent","Mega cable","Never Married","Movistar",1,"Never","Android","YT Music",882640,"High School","cluster_0"
29.999999999999996,"Male","Rent","Axtel","Married","Movistar",1,"Rarely","IOS","YT Music",882645,"Doctorate","cluster_0"
24,"Male","Rent","Mega cable","Separated","Movistar",1,"Rarely","IOS","YT Music",882648,"Bachelor","cluster_0"
32,"Male","Own","Mega cable","Never Married","Telcel",2,"Rarely","IOS","YT Music",882650,"High School","cluster_0"
33,"Male","Rent","Mega cable","Married","Telcel",2,"Never","Android","YT Music",882652,"Doctorate","cluster_0"
29.999999999999996,"Male","Rent","Telmex","Never Married","Telcel",1,"Never","Android","YT Music",882656,"High School","cluster_0"
40,"Male","Own","Axtel","Divorced","Telcel",1,"Never","Android","YT Music",882658,"Bachelor","cluster_0"
21,"Female","Rent","Mega cable","Never Married","Movistar",1,"Rarely","Android","YT Music",882660,"High School","cluster_0"
29,"Male","Rent","Mega cable","Never Married","Movistar",2,"Never","Android","YT Music",882666,"High School","cluster_0"
26,"Male","Rent","Telmex","Never Married","Movistar",2,"Never","Android","YT Music",882667,"High School","cluster_0"
48,"Male","Rent","Telmex","Married","Telcel",2,"Weekly","Android","YT Music",882674,"Bachelor","cluster_0"
37,"Male","Rent","Axtel","Never Married","Telcel",1,"Rarely","IOS","YT Music",882677,"High School","cluster_0"
29.999999999999996,"Male","Rent","Mega cable","Married","Telcel",2,"Never","Android","YT Music",882678,"Master's Degree","cluster_0"
26,"Male","Rent","Mega cable","Never Married","Telcel",1,"Rarely","IOS","YT Music",882683,"High School","cluster_0"
26,"Female","Rent","Telmex","Married","Telcel",1,"Never","IOS","YT Music",882684,"Bachelor","cluster_0"
31,"Male","Own","Axtel","Never Married","Telcel",1,"Never","Android","YT Music",882685,"High School","cluster_0"
50,"Male","Rent","Mega cable","Never Married","Telcel",2,"Never","Android","YT Music",882693,"High School","cluster_0"
43,"Male","Rent","Mega cable","Other","Movistar",1,"Never","Android","YT Music",882694,"Post-Doc","cluster_0"
42,"Male","Rent","Axtel","Married","Telcel",3,"Weekly","Android","YT Music",882699,"Some College","cluster_0"
35,"Male","Rent","Mega cable","Married","Telcel",3,"Weekly","Android","Spotify",882700,"Master's Degree","cluster_0"
26,"Male","Rent","Mega cable","Married","Movistar",2,"Rarely","IOS","YT Music",882701,"Bachelor","cluster_0"
36,"Male","Rent","Axtel","Married","Telcel",2,"Weekly","Android","YT Music",882705,"Bachelor","cluster_0"
31,"Female","Rent","Telmex","Divorced","Movistar",1,"Never","Android","YT Music",882709,"Master's Degree","cluster_0"
28,"Male","Rent","Axtel","Never Married","Movistar",1,"Monthly","Android","YT Music",882713,"High School","cluster_0"
43,"Female","Rent","Telmex","Divorced","Movistar",2,"Weekly","Android","Spotify",882715,"Bachelor","cluster_0"
29.999999999999996,"Male","Rent","Mega cable","Never Married","Telcel",1,"Monthly","Android","Spotify",882720,"High School","cluster_0"
24,"Female","Own","Mega cable","Married","Telcel",2,"Never","IOS","YT Music",882721,"Bachelor","cluster_0"
50,"Male","Own","Mega cable","Married","Telcel",2,"Rarely","IOS","YT Music",882728,"Bachelor","cluster_0"
32,"Male","Own","Axtel","Married","Telcel",2,"Weekly","Android","YT Music",882729,"Master's Degree","cluster_0"
26,"Male","Rent","Axtel","Never Married","Movistar",1,"Never","Android","YT Music",882731,"High School","cluster_0"
28,"Male","Rent","Telmex","Married","Movistar",1,"Never","Android","YT Music",882735,"Some College","cluster_0"
39,"Female","Rent","Axtel","Married","Telcel",2,"Never","IOS","Spotify",882737,"Master's Degree","cluster_0"
29,"Male","Own","Telmex","Never Married","Telcel",1,"Never","Android","YT Music",882738,"High School","cluster_0"
26,"Male","Rent","Axtel","Never Married","Telcel",1,"Rarely","IOS","YT Music",882739,"High School","cluster_0"
32,"Female","Rent","Mega cable","Married","Movistar",1,"Never","IOS","Spotify",882741,"Master's Degree","cluster_0"
34,"Male","Own","Telmex","Married","Telcel",3,"Monthly","Android","YT Music",882745,"Bachelor","cluster_0"
33,"Male","Own","Axtel","Married","Telcel",1,"Never","Android","YT Music",882747,"Master's Degree","cluster_0"
23,"Male","Rent","Mega cable","Never Married","Movistar",1,"Never","Android","YT Music",882750,"High School","cluster_0"
36,"Male","Rent","Telmex","Married","Telcel",1,"Never","Android","Spotify",882752,"Master's Degree","cluster_0"
39,"Male","Own","Telmex","Married","Telcel",5,"Weekly","Android","YT Music",882756,"Bachelor","cluster_0"
35,"Male","Own","Telmex","Married","Telcel",2,"Rarely","IOS","YT Music",882757,"Grade School","cluster_0"
38,"Male","Own","Axtel","Married","Telcel",2,"Never","Android","YT Music",882760,"Bachelor","cluster_0"
35,"Male","Own","Mega cable","Married","Telcel",2,"Weekly","Android","YT Music",882763,"Bachelor","cluster_0"
23,"Female","Rent","Telmex","Never Married","Movistar",1,"Never","Android","Spotify",882766,"High School","cluster_0"
36,"Male","Own","Axtel","Married","Telcel",2,"Weekly","Android","YT Music",882768,"Doctorate","cluster_0"
25,"Female","Rent","Telmex","Never Married","Movistar",1,"Never","Android","YT Music",882769,"High School","cluster_0"
31,"Male","Rent","Axtel","Married","Telcel",1,"Rarely","IOS","YT Music",882772,"Associate's Degree","cluster_0"
45,"Male","Own","Axtel","Married","Telcel",3,"Weekly","Android","YT Music",882775,"Master's Degree","cluster_0"
