Age,Gender,HomeOwnership,InternetConnection,MaritalStatus,CellphoneService,NumCars,PPVFreq,MobileOperatingSystem,StreamingRadio,CustomerID,EducationLevel
33,Male,Own,Telmex,Never Married,Movistar,1,Never,Android,YT Music,882464,High School
24,Male,Rent,Mega cable,Never Married,Movistar,0,Rarely,IOS,Spotify,882465,High School
39,Male,Rent,Axtel,Married,Telcel,1,Never,Android,YT Music,882467,Master's Degree
52,Male,Rent,Telmex,Married,Telcel,3,Weekly,IOS,Spotify,882469,Master's Degree
31,Male,Rent,Axtel,Married,Telcel,4,Rarely,IOS,YT Music,882471,Bachelor
33,Female,Rent,Mega cable,Married,Movistar,2,Monthly,IOS,YT Music,882475,Master's Degree
29,Male,Rent,Axtel,Married,Telcel,2,Rarely,IOS,YT Music,882476,Bachelor
31,Male,Rent,Axtel,Married,Telcel,2,Rarely,IOS,Spotify,882478,Master's Degree
35,Male,Rent,Mega cable,Married,Telcel,2,Weekly,IOS,YT Music,882479,Bachelor
28,Male,Own,Mega cable,Married,Telcel,2,Never,Android,YT Music,882481,Bachelor
32,Male,Rent,Mega cable,Married,Telcel,2,Never,Android,Spotify,882482,Master's Degree
36,Male,Own,Axtel,Married,Telcel,2,Weekly,Android,YT Music,882483,Master's Degree
27,Male,Rent,Mega cable,Married,Telcel,1,Never,Android,YT Music,882484,Bachelor
21,Male,Rent,Axtel,Never Married,Movistar,1,Rarely,IOS,YT Music,882491,High School
25,Male,Own,Mega cable,Never Married,Movistar,1,Weekly,Windows phone,YT Music,882494,High School
27,Male,Rent,Axtel,Married,Movistar,2,Weekly,IOS,YT Music,882497,Master's Degree
38,Male,Own,Mega cable,Never Married,Telcel,1,Monthly,Android,YT Music,882500,High School
33,Male,Rent,Telmex,Divorced,Movistar,1,Never,Android,YT Music,882501,Master's Degree
27,Male,Rent,Axtel,Married,Telcel,3,Rarely,IOS,YT Music,882503,Bachelor
28,Male,Rent,Izzi,Married,Telcel,1,Never,Android,Spotify,882504,Master's Degree
40,Male,Rent,Mega cable,Divorced,Movistar,1,Weekly,IOS,YT Music,882506,Bachelor
51,Male,Rent,Telmex,Married,Telcel,3,Weekly,Android,YT Music,882507,Trade School
29,Male,Own,Axtel,Married,Telcel,2,Never,Android,YT Music,882508,Associate's Degree
28,Male,Own,Mega cable,Married,Telcel,3,Weekly,Android,YT Music,882512,Some College
36,Male,Rent,Telmex,Married,Telcel,2,Never,Android,YT Music,882515,Master's Degree
30,Male,Rent,Telmex,Never Married,Movistar,1,Never,Android,Spotify,882517,High School
37,Female,Rent,Mega cable,Married,Telcel,2,Weekly,IOS,YT Music,882518,Master's Degree
33,Male,Own,Telmex,Married,Telcel,2,Never,Android,YT Music,882521,Doctorate
38,Male,Rent,Axtel,Married,Telcel,2,Weekly,IOS,YT Music,882522,Bachelor
27,Male,Own,Axtel,Never Married,Telcel,1,Never,Android,YT Music,882523,High School
30,Male,Rent,Telmex,Never Married,Movistar,1,Rarely,IOS,YT Music,882527,High School
28,Male,Rent,Mega cable,Never Married,Telcel,1,Rarely,IOS,YT Music,882531,High School
28,Male,Rent,Axtel,Married,Telcel,2,Rarely,IOS,YT Music,882532,Some College
25,Male,Rent,Axtel,Married,Telcel,2,Never,Android,YT Music,882535,Bachelor
27,Female,Rent,Mega cable,Married,Movistar,2,Monthly,IOS,YT Music,882537,Bachelor
38,Male,Rent,Telmex,Married,Telcel,2,Weekly,IOS,Spotify,882543,Bachelor
32,Male,Rent,Mega cable,Married,Telcel,2,Rarely,IOS,YT Music,882545,Master's Degree
44,Male,Rent,Axtel,Married,Telcel,2,Monthly,Android,YT Music,882550,Master's Degree
24,Female,Rent,Axtel,Married,Movistar,2,Never,IOS,YT Music,882551,Master's Degree
31,Male,Own,Telmex,Married,Telcel,2,Weekly,Windows phone,YT Music,882553,Bachelor
32,Male,Own,Axtel,Married,Telcel,2,Never,Android,YT Music,882559,Bachelor
23,Male,Rent,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,882560,High School
45,Female,Rent,Telmex,Married,Movistar,2,Never,IOS,Spotify,882563,Associate's Degree
36,Male,Rent,Axtel,Married,Telcel,2,Weekly,IOS,YT Music,882564,Bachelor
24,Female,Own,Telmex,Married,Telcel,2,Never,IOS,YT Music,882565,Bachelor
31,Male,Rent,Mega cable,Married,Telcel,2,Never,Android,YT Music,882569,Bachelor
24,Female,Own,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,882573,High School
24,Female,Rent,Telmex,Never Married,Movistar,1,Rarely,Android,YT Music,882574,High School
25,Male,Rent,Mega cable,Married,Movistar,1,Never,Android,Spotify,882576,Bachelor
36,Male,Rent,Telmex,Married,Telcel,2,Monthly,Android,YT Music,882577,Bachelor
48,Female,Rent,Telmex,Married,AT&T,3,Weekly,IOS,YT Music,882578,Bachelor
22,Male,Rent,Mega cable,Never Married,Telcel,0,Never,Android,YT Music,882581,High School
37,Male,Rent,Axtel,Never Married,Telcel,1,Rarely,IOS,YT Music,882583,High School
55,Male,Rent,Mega cable,Separated,Telcel,2,Rarely,IOS,YT Music,882585,Master's Degree
36,Female,Rent,Telmex,Married,AT&T,3,Weekly,IOS,Spotify,882587,Bachelor
28,Male,Rent,Mega cable,Married,Movistar,1,Never,Android,YT Music,882590,Master's Degree
47,Female,Own,Axtel,Other,Movistar,1,Weekly,Android,YT Music,882591,Master's Degree
32,Female,Rent,Telmex,Married,Telcel,2,Weekly,IOS,Spotify,882593,Bachelor
28,Male,Rent,Axtel,Never Married,Movistar,1,Never,Android,YT Music,882594,High School
27,Female,Rent,Telmex,Never Married,Movistar,1,Rarely,Android,YT Music,882597,High School
28,Male,Rent,Mega cable,Married,Telcel,3,Weekly,Android,YT Music,882599,Some College
27,Male,Rent,Telmex,Never Married,Movistar,1,Never,Android,YT Music,882600,High School
37,Male,Own,Axtel,Married,Telcel,2,Weekly,Android,YT Music,882602,Post-Doc
23,Male,Rent,Telmex,Never Married,Movistar,2,Rarely,IOS,YT Music,882607,High School
34,Male,Own,Mega cable,Married,Telcel,2,Rarely,IOS,YT Music,882608,Bachelor
40,Male,Own,Telmex,Married,Telcel,2,Weekly,Android,YT Music,882609,Some College
30,Male,Rent,Axtel,Married,Movistar,1,Weekly,Android,YT Music,882612,Master's Degree
35,Male,Rent,Mega cable,Married,Telcel,2,Weekly,IOS,YT Music,882616,Associate's Degree
30,Male,Rent,Mega cable,Married,Telcel,2,Monthly,Android,YT Music,882621,Bachelor
26,Male,Rent,Axtel,Never Married,Telcel,1,Never,Android,YT Music,882622,High School
33,Male,Own,Telmex,Never Married,Telcel,1,Rarely,IOS,YT Music,882623,High School
26,Male,Rent,Mega cable,Married,Telcel,1,Never,Android,YT Music,882626,Grade School
23,Male,Own,Axtel,Never Married,Telcel,1,Never,Android,YT Music,882627,High School
55,Male,Rent,Mega cable,Other,Telcel,1,Never,Android,Spotify,882628,Some College
35,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,YT Music,882631,Bachelor
45,Male,Rent,Mega cable,Never Married,Telcel,4,Rarely,IOS,YT Music,882632,High School
42,Male,Rent,Mega cable,Married,Telcel,2,Weekly,Android,YT Music,882636,Master's Degree
33,Male,Rent,Axtel,Never Married,Telcel,1,Rarely,IOS,YT Music,882638,High School
27,Male,Rent,Telmex,Married,Telcel,1,Never,Android,YT Music,882639,Bachelor
56,Female,Rent,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,882640,High School
30,Male,Rent,Axtel,Married,Movistar,1,Rarely,IOS,YT Music,882645,Doctorate
24,Male,Rent,Mega cable,Separated,Movistar,1,Rarely,IOS,YT Music,882648,Bachelor
32,Male,Own,Mega cable,Never Married,Telcel,2,Rarely,IOS,YT Music,882650,High School
33,Male,Rent,Mega cable,Married,Telcel,2,Never,Android,YT Music,882652,Doctorate
30,Male,Rent,Telmex,Never Married,Telcel,1,Never,Android,YT Music,882656,High School
40,Male,Own,Axtel,Divorced,Telcel,1,Never,Android,YT Music,882658,Bachelor
21,Female,Rent,Mega cable,Never Married,Movistar,1,Rarely,Android,YT Music,882660,High School
29,Male,Rent,Mega cable,Never Married,Movistar,2,Never,Android,YT Music,882666,High School
26,Male,Rent,Telmex,Never Married,Movistar,2,Never,Android,YT Music,882667,High School
48,Male,Rent,Telmex,Married,Telcel,2,Weekly,Android,YT Music,882674,Bachelor
37,Male,Rent,Axtel,Never Married,Telcel,1,Rarely,IOS,YT Music,882677,High School
30,Male,Rent,Mega cable,Married,Telcel,2,Never,Android,YT Music,882678,Master's Degree
26,Male,Rent,Mega cable,Never Married,Telcel,1,Rarely,IOS,YT Music,882683,High School
26,Female,Rent,Telmex,Married,Telcel,1,Never,IOS,YT Music,882684,Bachelor
31,Male,Own,Axtel,Never Married,Telcel,1,Never,Android,YT Music,882685,High School
50,Male,Rent,Mega cable,Never Married,Telcel,2,Never,Android,YT Music,882693,High School
43,Male,Rent,Mega cable,Other,Movistar,1,Never,Android,YT Music,882694,Post-Doc
42,Male,Rent,Axtel,Married,Telcel,3,Weekly,Android,YT Music,882699,Some College
35,Male,Rent,Mega cable,Married,Telcel,3,Weekly,Android,Spotify,882700,Master's Degree
26,Male,Rent,Mega cable,Married,Movistar,2,Rarely,IOS,YT Music,882701,Bachelor
36,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,YT Music,882705,Bachelor
31,Female,Rent,Telmex,Divorced,Movistar,1,Never,Android,YT Music,882709,Master's Degree
28,Male,Rent,Axtel,Never Married,Movistar,1,Monthly,Android,YT Music,882713,High School
43,Female,Rent,Telmex,Divorced,Movistar,2,Weekly,Android,Spotify,882715,Bachelor
30,Male,Rent,Mega cable,Never Married,Telcel,1,Monthly,Android,Spotify,882720,High School
24,Female,Own,Mega cable,Married,Telcel,2,Never,IOS,YT Music,882721,Bachelor
50,Male,Own,Mega cable,Married,Telcel,2,Rarely,IOS,YT Music,882728,Bachelor
32,Male,Own,Axtel,Married,Telcel,2,Weekly,Android,YT Music,882729,Master's Degree
26,Male,Rent,Axtel,Never Married,Movistar,1,Never,Android,YT Music,882731,High School
28,Male,Rent,Telmex,Married,Movistar,1,Never,Android,YT Music,882735,Some College
39,Female,Rent,Axtel,Married,Telcel,2,Never,IOS,Spotify,882737,Master's Degree
29,Male,Own,Telmex,Never Married,Telcel,1,Never,Android,YT Music,882738,High School
26,Male,Rent,Axtel,Never Married,Telcel,1,Rarely,IOS,YT Music,882739,High School
32,Female,Rent,Mega cable,Married,Movistar,1,Never,IOS,Spotify,882741,Master's Degree
34,Male,Own,Telmex,Married,Telcel,3,Monthly,Android,YT Music,882745,Bachelor
33,Male,Own,Axtel,Married,Telcel,1,Never,Android,YT Music,882747,Master's Degree
23,Male,Rent,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,882750,High School
36,Male,Rent,Telmex,Married,Telcel,1,Never,Android,Spotify,882752,Master's Degree
39,Male,Own,Telmex,Married,Telcel,5,Weekly,Android,YT Music,882756,Bachelor
35,Male,Own,Telmex,Married,Telcel,2,Rarely,IOS,YT Music,882757,Grade School
38,Male,Own,Axtel,Married,Telcel,2,Never,Android,YT Music,882760,Bachelor
35,Male,Own,Mega cable,Married,Telcel,2,Weekly,Android,YT Music,882763,Bachelor
23,Female,Rent,Telmex,Never Married,Movistar,1,Never,Android,Spotify,882766,High School
36,Male,Own,Axtel,Married,Telcel,2,Weekly,Android,YT Music,882768,Doctorate
25,Female,Rent,Telmex,Never Married,Movistar,1,Never,Android,YT Music,882769,High School
31,Male,Rent,Axtel,Married,Telcel,1,Rarely,IOS,YT Music,882772,Associate's Degree
45,Male,Own,Axtel,Married,Telcel,3,Weekly,Android,YT Music,882775,Master's Degree
26,Male,Rent,Mega cable,Never Married,Telcel,1,Never,Android,Spotify,882778,High School
23,Female,Rent,Telmex,Never Married,Movistar,1,Never,Android,Spotify,882783,High School
37,Male,Rent,Mega cable,Married,Telcel,2,Never,Android,YT Music,882784,Some College
28,Female,Rent,Axtel,Married,Movistar,3,Never,IOS,YT Music,882787,Bachelor
52,Male,Own,Telmex,Married,Telcel,2,Weekly,Android,YT Music,882793,Doctorate
29,Male,Rent,Axtel,Married,Telcel,2,Never,Android,YT Music,882796,Bachelor
48,Male,Own,Telmex,Never Married,Telcel,1,Never,Android,YT Music,882799,High School
39,Male,Own,Mega cable,Married,Telcel,2,Weekly,Android,YT Music,882801,Bachelor
29,Female,Own,Mega cable,Never Married,Movistar,2,Rarely,Android,YT Music,882804,High School
26,Male,Rent,Axtel,Married,Telcel,1,Rarely,IOS,YT Music,882807,Master's Degree
25,Male,Own,Axtel,Married,Telcel,1,Rarely,IOS,YT Music,882808,Master's Degree
34,Male,Rent,Mega cable,Never Married,Telcel,0,Never,Android,YT Music,882812,High School
28,Male,Rent,Telmex,Never Married,Movistar,1,Rarely,IOS,YT Music,882816,High School
45,Female,Rent,Telmex,Never Married,Movistar,1,Never,Android,Spotify,882817,High School
30,Male,Own,Telmex,Married,Telcel,2,Never,Android,YT Music,882821,Doctorate
27,Male,Rent,Axtel,Never Married,Other,1,Never,Android,YT Music,882824,High School
22,Female,Rent,Telmex,Never Married,Movistar,1,Never,Android,YT Music,882827,High School
29,Female,Rent,Telmex,Divorced,Movistar,1,Monthly,Android,YT Music,882828,Bachelor
44,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,YT Music,882830,Master's Degree
35,Male,Rent,Mega cable,Separated,Telcel,2,Monthly,Android,YT Music,882837,Master's Degree
35,Female,Rent,Telmex,Divorced,Movistar,1,Never,Android,Spotify,882844,Master's Degree
24,Male,Rent,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,882853,High School
24,Male,Rent,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,882856,High School
26,Male,Rent,Axtel,Married,Telcel,2,Rarely,IOS,YT Music,882859,Master's Degree
28,Male,Rent,Mega cable,Married,Telcel,2,Weekly,Windows phone,YT Music,882868,Some College
35,Female,Own,Telmex,Married,AT&T,2,Weekly,IOS,YT Music,882869,Doctorate
34,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,YT Music,882886,Master's Degree
34,Male,Rent,Axtel,Married,Telcel,2,Rarely,IOS,YT Music,882891,Bachelor
29,Male,Rent,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,882896,High School
21,Male,Rent,Telmex,Never Married,Movistar,1,Never,Android,YT Music,882902,High School
30,Male,Own,Mega cable,Married,Telcel,1,Rarely,IOS,YT Music,882910,Bachelor
38,Male,Rent,Telmex,Never Married,Movistar,1,Rarely,IOS,YT Music,882911,High School
30,Female,Rent,Axtel,Married,Telcel,2,Rarely,IOS,Spotify,882919,Bachelor
41,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,YT Music,882923,Post-Doc
36,Male,Rent,Axtel,Married,Telcel,2,Weekly,Android,YT Music,882927,Bachelor
21,Male,Own,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,882932,High School
25,Male,Own,Other,Married,Telcel,2,Never,Android,YT Music,882934,Some College
25,Female,Rent,Telmex,Never Married,Movistar,2,Never,Android,YT Music,882936,High School
46,Female,Rent,Mega cable,Married,Movistar,2,Never,IOS,Spotify,882938,Master's Degree
25,Male,Own,Mega cable,Never Married,Movistar,2,Never,Android,YT Music,882941,High School
36,Male,Rent,Axtel,Married,Movistar,2,Weekly,Windows phone,Spotify,882942,Grade School
34,Female,Rent,Axtel,Married,Movistar,2,Rarely,IOS,YT Music,882945,Master's Degree
23,Male,Rent,Telmex,Never Married,Movistar,1,Never,Android,Spotify,882951,High School
39,Male,Rent,Telmex,Never Married,Movistar,1,Never,Android,YT Music,882955,High School
35,Male,Rent,Izzi,Married,Telcel,2,Weekly,Android,YT Music,882957,Bachelor
28,Male,Rent,Axtel,Never Married,Movistar,2,Rarely,IOS,YT Music,882959,High School
28,Female,Own,Telmex,Married,Movistar,1,Never,IOS,YT Music,882961,Master's Degree
55,Female,Rent,Telmex,Divorced,Movistar,1,Rarely,Android,Spotify,882962,Some College
23,Male,Rent,Mega cable,Never Married,Movistar,1,Rarely,IOS,YT Music,882963,High School
46,Female,Own,Axtel,Divorced,Movistar,2,Never,Android,YT Music,882964,Associate's Degree
27,Male,Rent,Izzi,Married,Telcel,2,Rarely,IOS,YT Music,882969,Some College
25,Male,Rent,Mega cable,Never Married,Movistar,1,Never,Android,YT Music,882971,High School
37,Male,Rent,Mega cable,Married,Telcel,2,Weekly,Android,Spotify,882973,Bachelor
41,Male,Rent,Mega cable,Married,Telcel,1,Never,Android,YT Music,882975,Some College
35,Male,Own,Axtel,Married,Telcel,1,Weekly,Android,YT Music,882977,Bachelor
31,Male,Own,Telmex,Married,Movistar,1,Never,Android,YT Music,882984,Master's Degree
34,Male,Rent,Telmex,Married,Telcel,2,Weekly,Android,Spotify,882987,Bachelor
